stage,n,mean_ms,median_ms,std_ms,min_ms,p95_ms,p99_ms,max_ms
preprocess,5000,0.0017967201536521315,0.0015420082490891218,0.0012298062282759422,0.001374981366097927,0.002208020305261016,0.009625405946280816,0.02258300082758069
scale,5000,0.022912837605690583,0.021915999241173267,0.004452361385477062,0.021332991309463978,0.027749979926738888,0.03533468057867143,0.18000000272877514
autoencoder_forward,5000,0.04382825039792806,0.04220899427309632,0.008034937932396674,0.04095898475497961,0.05125626194057988,0.05879283737158405,0.3730829921551049
classifier_forward,5000,0.021119979582726954,0.020374980522319674,0.00481403553515669,0.019708997569978237,0.025332994118798524,0.028792841767426598,0.31733300420455635
ml_inference (AE+CLF),5000,0.06526107783429325,0.06287498399615288,0.010034967960328938,0.061291997553780675,0.07600204698974268,0.08579183078836651,0.4057080077473074
end_to_end (full pipeline),5000,0.09033022485091351,0.08679198799654841,0.012325368758252044,0.08479098323732615,0.10479197953827679,0.11800999636761866,0.4360410093795508
